epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,66.6195,1.6511,1.95139,1.30883,0.04619,0.48486,0.20344,0.12941,1.62125,3.31851,1.39375,0.00050567,0.00050567,0.00050567
59,67.5624,1.66834,1.97127,1.35772,0.04885,0.47093,0.20732,0.12219,1.68999,3.31157,1.41844,0.000513393,0.000513393,0.000513393
60,68.4721,1.69232,2.01549,1.34426,0.05303,0.49186,0.22114,0.12753,1.69089,3.25277,1.38119,0.000521076,0.000521076,0.000521076
61,69.4051,1.63515,1.93528,1.32665,0.05593,0.5008,0.2322,0.1443,1.60615,3.19569,1.304,0.00052872,0.00052872,0.00052872
62,70.3609,1.65273,1.93788,1.32007,0.06037,0.51872,0.24129,0.16022,1.52888,3.14114,1.24094,0.000536324,0.000536324,0.000536324
63,71.3487,1.5521,1.91278,1.30669,0.06249,0.52868,0.25008,0.16706,1.5032,3.10057,1.22644,0.000543889,0.000543889,0.000543889
64,72.3125,1.54379,1.80786,1.26878,0.06368,0.54315,0.2598,0.17321,1.52371,3.06856,1.2414,0.000551414,0.000551414,0.000551414
65,73.3004,1.63365,1.98079,1.30277,0.0652,0.57238,0.27942,0.17119,1.61792,3.03053,1.2851,0.000558899,0.000558899,0.000558899
66,74.261,1.58161,1.79674,1.25257,0.3549,0.34689,0.30531,0.18229,1.63316,2.98969,1.28784,0.000566345,0.000566345,0.000566345
67,75.2194,1.54861,1.72033,1.2337,0.49283,0.266,0.30306,0.18387,1.58759,2.98461,1.26033,0.000573751,0.000573751,0.000573751
68,76.1638,1.46143,1.73499,1.22886,0.42622,0.2852,0.27623,0.16618,1.59717,3.04233,1.27622,0.000581118,0.000581118,0.000581118
69,77.0945,1.59327,1.8656,1.28648,0.31338,0.34823,0.25278,0.14493,1.68105,3.08008,1.33797,0.000588445,0.000588445,0.000588445
70,78.0641,1.45558,1.74953,1.24964,0.44686,0.22358,0.2369,0.12873,1.76029,3.11502,1.396,0.000595732,0.000595732,0.000595732
71,79.0136,1.46596,1.71408,1.25827,0.52579,0.17116,0.24477,0.1377,1.75629,3.08768,1.39012,0.00060298,0.00060298,0.00060298
72,79.9553,1.52824,1.78269,1.27857,0.63953,0.15553,0.25463,0.1521,1.73058,3.05898,1.38054,0.000610188,0.000610188,0.000610188
73,80.912,1.41853,1.66288,1.21339,0.65421,0.16423,0.26381,0.14689,1.82091,3.06263,1.43759,0.000617357,0.000617357,0.000617357
74,81.9002,1.43715,1.67162,1.23453,0.66179,0.17147,0.26913,0.14157,1.88778,3.04254,1.47487,0.000624486,0.000624486,0.000624486
75,82.8714,1.45184,1.66742,1.23085,0.67788,0.11212,0.25402,0.13401,1.92503,3.06033,1.49248,0.000631575,0.000631575,0.000631575
76,83.8703,1.51116,1.68339,1.24788,0.69786,0.11024,0.25178,0.12454,1.95482,3.06449,1.506,0.000638625,0.000638625,0.000638625
77,84.8937,1.4537,1.61481,1.22488,0.67779,0.13756,0.27595,0.14554,1.8606,2.9789,1.44231,0.000645635,0.000645635,0.000645635
78,85.9543,1.53734,1.67829,1.23973,0.64677,0.14511,0.28862,0.15547,1.84215,2.93045,1.44201,0.000652606,0.000652606,0.000652606
79,86.9885,1.49025,1.62287,1.21432,0.71231,0.17602,0.32055,0.16923,1.83232,2.86849,1.44927,0.000659537,0.000659537,0.000659537
80,87.9964,1.42718,1.62672,1.2071,0.73627,0.20194,0.34768,0.19852,1.75596,2.80822,1.40839,0.000666428,0.000666428,0.000666428
81,89.0071,1.50009,1.6254,1.21883,0.74061,0.21134,0.35714,0.22844,1.65754,2.74727,1.34648,0.00067328,0.00067328,0.00067328
